                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6965,                 4.5257,                 1.6943,                0.00119,                0.00714,                0.00061,                0.00055,                 2.7211,                 4.0885,                 1.4799,                      0,                      0,                      0
                      2,                 3.9355,                 4.9372,                 1.7242,                0.00118,                0.00714,                 0.0006,                0.00048,                 2.6589,                 4.0783,                  1.454,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                 4.0878,                 4.8821,                 1.8245,                0.00119,                0.00714,                0.00061,                0.00042,                 2.5501,                 4.0667,                 1.4204,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                 3.8182,                 4.6281,                 1.6047,                0.00232,                0.01429,                0.00119,                0.00053,                 2.4544,                 4.0663,                 1.3883,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                  3.516,                 4.3116,                 1.4536,                0.00224,                0.01429,                0.00115,                 0.0008,                 2.4692,                 4.0514,                 1.3739,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                 3.7721,                  4.375,                 1.5192,                0.00214,                0.01429,                0.00114,                0.00083,                 2.5269,                 4.0379,                 1.3868,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                 3.3564,                 4.1352,                 1.4334,                0.00305,                0.02143,                0.00162,                0.00096,                 2.5634,                 4.0221,                 1.3737,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                 3.3121,                 4.0243,                 1.3958,                0.00291,                0.02143,                0.00167,                0.00111,                 2.5369,                 3.9769,                 1.3032,             0.00010052,             0.00010052,             0.00010052
                      9,                 3.6046,                 4.1348,                 1.3519,                0.00287,                0.02143,                0.00166,                0.00099,                 2.4455,                 3.9698,                  1.237,             0.00011224,             0.00011224,             0.00011224
                     10,                 3.2072,                 3.9111,                 1.2019,                0.00283,                0.02143,                 0.0017,                0.00102,                 2.4337,                 3.9632,                  1.216,             0.00012329,             0.00012329,             0.00012329
                     11,                 3.1764,                 3.8157,                 1.2167,                0.00278,                0.02143,                0.00168,                0.00104,                 2.4431,                   3.95,                 1.1842,             0.00013369,             0.00013369,             0.00013369
                     12,                 3.3353,                 3.7427,                 1.1797,                0.00505,                0.04048,                0.00317,                 0.0014,                  2.463,                 3.9273,                 1.1548,             0.00014343,             0.00014343,             0.00014343
                     13,                  2.962,                 3.4682,                 1.1846,                0.00655,                0.05238,                0.00402,                0.00184,                 2.4526,                  3.898,                 1.1381,             0.00015251,             0.00015251,             0.00015251
                     14,                 3.3909,                 3.5135,                 1.1835,                0.00662,                0.05238,                0.00415,                0.00175,                 2.3961,                 3.8759,                  1.101,             0.00016093,             0.00016093,             0.00016093
                     15,                 3.1727,                 3.2386,                 1.1223,                 0.0083,                0.06429,                0.00503,                0.00202,                 2.5199,                 3.8462,                 1.1151,             0.00016869,             0.00016869,             0.00016869
                     16,                 3.1523,                 3.3722,                 1.1471,                0.00816,                0.06429,                0.00499,                0.00174,                 2.5513,                 3.8359,                 1.1007,             0.00017579,             0.00017579,             0.00017579
                     17,                 2.9565,                  2.871,                 1.0577,                0.00652,                0.05238,                0.00409,                0.00145,                 2.5989,                 3.8138,                 1.1053,             0.00018222,             0.00018222,             0.00018222
                     18,                 3.0054,                 3.0725,                 1.1135,                0.00652,                0.05238,                0.00409,                0.00145,                 2.5989,                 3.8138,                 1.1053,               0.000188,               0.000188,               0.000188
                     19,                 2.9005,                  3.012,                 1.0678,                0.00648,                0.05238,                0.00401,                0.00138,                 2.6298,                 3.7966,                 1.1174,             0.00019312,             0.00019312,             0.00019312
                     20,                 2.9137,                 2.8003,                  1.069,                0.00648,                0.05238,                0.00401,                0.00138,                 2.6298,                 3.7966,                 1.1174,             0.00019758,             0.00019758,             0.00019758
                     21,                 2.8893,                 2.8724,                 1.0618,                0.00752,                0.05952,                0.00474,                0.00161,                 2.6112,                 3.7776,                  1.112,             0.00020137,             0.00020137,             0.00020137
                     22,                  2.868,                 2.7799,                 1.0517,                0.00752,                0.05952,                0.00474,                0.00161,                 2.6112,                 3.7776,                  1.112,             0.00020451,             0.00020451,             0.00020451
                     23,                 3.0339,                 2.8668,                 1.0642,                0.00886,                0.07143,                0.00577,                 0.0019,                 2.6879,                 3.7299,                 1.0841,             0.00020699,             0.00020699,             0.00020699
                     24,                 3.1152,                 2.8097,                 1.0535,                0.00886,                0.07143,                0.00577,                 0.0019,                 2.6879,                 3.7299,                 1.0841,             0.00020881,             0.00020881,             0.00020881
                     25,                  2.756,                 2.4888,                 1.0258,                0.01118,                0.09524,                0.00739,                0.00219,                 2.7104,                  3.702,                 1.0802,             0.00020996,             0.00020996,             0.00020996
                     26,                 3.2814,                 2.7899,                 1.0209,                0.01118,                0.09524,                0.00739,                0.00219,                 2.7104,                  3.702,                 1.0802,             0.00021046,             0.00021046,             0.00021046
                     27,                 2.9352,                 2.7025,                 1.0528,                0.01141,                0.09524,                0.00735,                0.00204,                 2.7369,                 3.6819,                 1.0798,              0.0002103,              0.0002103,              0.0002103
                     28,                 2.6617,                 2.3624,                 1.0088,                0.01141,                0.09524,                0.00735,                0.00204,                 2.7369,                 3.6819,                 1.0798,             0.00020947,             0.00020947,             0.00020947
                     29,                 2.6582,                 2.6231,                 1.0358,                0.01021,                 0.0881,                0.00635,                0.00202,                 2.7239,                 3.6553,                 1.0934,             0.00020799,             0.00020799,             0.00020799
                     30,                 3.0552,                 2.6275,                0.99233,                0.01021,                 0.0881,                0.00635,                0.00202,                 2.7239,                 3.6553,                 1.0934,             0.00020584,             0.00020584,             0.00020584
                     31,                 2.7241,                 2.6288,                  1.033,                0.01121,                    0.1,                0.00685,                0.00227,                 2.6755,                 3.6059,                 1.0962,             0.00020304,             0.00020304,             0.00020304
                     32,                 2.6668,                 2.2745,                0.98098,                0.01121,                    0.1,                0.00685,                0.00227,                 2.6755,                 3.6059,                 1.0962,             0.00019958,             0.00019958,             0.00019958
                     33,                 2.6808,                 2.2765,                0.97448,                0.01273,                0.10714,                0.00791,                0.00238,                 2.5811,                  3.573,                 1.0817,             0.00019545,             0.00019545,             0.00019545
                     34,                 2.8494,                 2.4464,                0.98203,                0.01273,                0.10714,                0.00791,                0.00238,                 2.5811,                  3.573,                 1.0817,             0.00019067,             0.00019067,             0.00019067
                     35,                 2.7985,                 2.4141,                 1.0009,                0.01381,                0.11905,                 0.0088,                0.00271,                 2.5569,                  3.528,                 1.0913,             0.00018522,             0.00018522,             0.00018522
                     36,                 2.6935,                 2.3016,                0.99801,                0.01381,                0.11905,                 0.0088,                0.00271,                 2.5569,                  3.528,                 1.0913,             0.00017912,             0.00017912,             0.00017912
                     37,                 3.0002,                 2.5804,                 1.0183,                0.01706,                   0.15,                0.01128,                 0.0031,                 2.4985,                 3.4958,                 1.0743,             0.00017235,             0.00017235,             0.00017235
                     38,                 2.5769,                 2.2815,                0.96639,                0.01706,                   0.15,                0.01128,                 0.0031,                 2.4985,                 3.4958,                 1.0743,             0.00016493,             0.00016493,             0.00016493
                     39,                 2.6732,                 2.2508,                0.97325,                0.01713,                   0.15,                 0.0113,                0.00354,                 2.4652,                 3.4679,                 1.0672,             0.00015684,             0.00015684,             0.00015684
                     40,                 2.5981,                 2.2956,                0.98297,                0.01713,                   0.15,                 0.0113,                0.00354,                 2.4652,                 3.4679,                 1.0672,              0.0001481,              0.0001481,              0.0001481
                     41,                 2.6046,                 2.4236,                0.98135,                0.01707,                   0.15,                0.01131,                0.00435,                 2.4915,                 3.4393,                  1.064,             0.00013869,             0.00013869,             0.00013869
                     42,                 2.5868,                 2.3642,                0.98383,                0.01707,                   0.15,                0.01131,                0.00435,                 2.4915,                 3.4393,                  1.064,             0.00012863,             0.00012863,             0.00012863
                     43,                 2.7102,                 2.5594,                 1.0074,                0.01872,                0.15714,                0.01189,                0.00489,                 2.5749,                 3.4044,                 1.0652,              0.0001179,              0.0001179,              0.0001179
                     44,                  2.855,                  2.945,                0.95019,                0.01872,                0.15714,                0.01189,                0.00489,                 2.5749,                 3.4044,                 1.0652,             0.00010652,             0.00010652,             0.00010652
                     45,                 2.4969,                 2.3103,                0.98958,                0.02047,                0.18095,                 0.0132,                0.00539,                  2.631,                 3.3524,                  1.071,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                 2.5846,                 2.3972,                 1.0086,                0.02047,                0.18095,                 0.0132,                0.00539,                  2.631,                 3.3524,                  1.071,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                 2.6667,                 2.4615,                0.96525,                0.02053,                0.18095,                0.01363,                0.00562,                 2.6046,                 3.3283,                 1.0736,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                 2.7853,                  2.652,                 1.0229,                0.02053,                0.18095,                0.01363,                0.00562,                 2.6046,                 3.3283,                 1.0736,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                 2.5576,                 2.3576,                0.96984,                0.02068,                0.18095,                0.01407,                0.00572,                 2.5993,                 3.3018,                 1.0723,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                  3.054,                 2.7545,                 1.0095,                0.02068,                0.18095,                0.01407,                0.00572,                 2.5993,                 3.3018,                 1.0723,             2.4342e-05,             2.4342e-05,             2.4342e-05
